Date,Close,High,Low,Open,Volume
1/1/2021,29374.15234,29600.62695,28803.58594,28994.00977,40730301359
1/2/2021,32127.26758,33155.11719,29091.18164,29376.45508,67865420765
1/3/2021,32782.02344,34608.55859,32052.31641,32129.4082,78665235202
1/4/2021,31971.91406,33440.21875,28722.75586,32810.94922,81163475344
1/5/2021,33992.42969,34437.58984,30221.1875,31977.04102,67547324782
1/6/2021,36824.36328,36879.69922,33514.03516,34013.61328,75289433811
1/7/2021,39371.04297,40180.36719,36491.19141,36833.875,84762141031
1/8/2021,40797.60938,41946.73828,36838.63672,39381.76563,88107519480
1/9/2021,40254.54688,41436.35156,38980.875,40788.64063,61984162837
1/10/2021,38356.44141,41420.19141,35984.62891,40254.21875,79980747690
1/11/2021,35566.65625,38346.53125,30549.59961,38346.53125,1.23321E+11
1/12/2021,33922.96094,36568.52734,32697.97656,35516.35938,74773277909
1/13/2021,37316.35938,37599.96094,32584.66797,33915.12109,69364315979
1/14/2021,39187.32813,39966.40625,36868.5625,37325.10938,63615990033
1/15/2021,36825.36719,39577.71094,34659.58984,39156.70703,67760757881
1/16/2021,36178.14063,37864.36719,35633.55469,36821.64844,57706187875
1/17/2021,35791.27734,36722.35156,34069.32031,36163.64844,52359854336
1/18/2021,36630.07422,37299.28516,34883.84375,35792.23828,49511702429
1/19/2021,36069.80469,37755.89063,36069.80469,36642.23438,57244195486
1/20/2021,35547.75,36378.32813,33570.47656,36050.11328,66834573161
1/21/2021,30825.69922,35552.67969,30250.75,35549.39844,75643067688
1/22/2021,33005.76172,33811.85156,28953.37305,30817.625,77207272511
1/23/2021,32067.64258,33360.97656,31493.16016,32985.75781,48354737975
1/24/2021,32289.37891,32944.00781,31106.68555,32064.37695,48643830599
1/25/2021,32366.39258,34802.74219,32087.78711,32285.79883,59897054838
1/26/2021,32569.84961,32794.55078,31030.26563,32358.61328,60255421470
1/27/2021,30432.54688,32564.0293,29367.13867,32564.0293,62576762015
1/28/2021,33466.09766,33858.3125,30023.20703,30441.04102,76517157706
1/29/2021,34316.38672,38406.26172,32064.81445,34318.67188,1.17895E+11
1/30/2021,34269.52344,34834.70703,32940.1875,34295.93359,65141828798
1/31/2021,33114.35938,34288.33203,32270.17578,34270.87891,52754542671
2/1/2021,33537.17578,34638.21484,32384.22852,33114.57813,61400400660
2/2/2021,35510.28906,35896.88281,33489.21875,33533.19922,63088585433
2/3/2021,37472.08984,37480.1875,35443.98438,35510.82031,61166818159
